,orderID,namaPesanan,recommendationShown,recommendationAccepted
277,4XLiLWqFPnb2br1o4yK5,"['risol mayo', 'gorengan']",True,False
278,4ZocmoopwWtniozZIllU,"['nasi goreng', 'es jeruk']",False,False
279,4aBilUdbWMGcrodURbr8,"['float', 'float']",True,False
280,4azQZtR1faL5mU49wu4v,"['mie', 'gorengan']",True,False
281,4bUAPWGsd8anYthhU36G,"['float', 'tahu krispy', 'air putih', 'risol mayo']",True,False
282,4cIt5Pgwg0RaENX9hONg,['nasi goreng'],True,False
283,4cmY8ps9iNigoN2SDMv7,"['risol mayo', 'cireng isi']",True,False
284,4eAygIpIvVRj0yRYFV0S,['tahu krispy'],True,False
285,4eI2DkLH7s5BioLRD2ZQ,['kopi'],True,False
286,4eMWPRN6xTCmw2m6Lgkh,"['mie', 'gorengan']",True,False
287,4fZ2ezbnyuKiVmwcMPUA,['teh'],False,False
288,4gJRUFh6sZvqo6z4yEr4,['mie'],True,False
289,4j0TQy8VCxvaCqW4mzjY,"['risol mayo', 'risol mayo']",True,False
290,4jNx1tZHa1ZeoqQI9r9h,['risol mayo'],True,False
291,4kD5arURsBwfyXRjd4nV,"['sayur harian', 'es jeruk']",True,False
292,4m4q6miX2FOV1ETuQ3sd,"['cireng isi', 'gorengan']",True,False
293,4m9HaM1805WIfQfFXSUl,['mie'],True,False
294,4oGpO2XnJHgGtaTYbIAI,['risol mayo'],True,False
295,4pKG8qvnbpqlnv9PboBa,['air putih'],True,False
296,4qYqcwNfqbrSpxGvBwmp,"['kopi', 'tahu krispy']",True,False
297,4rrfsdQLoPJCfYNIQ4ln,"['mie', 'teh']",True,False
298,4t8JVcr5eLcD6tzW6HIi,"['nasi goreng', 'air putih']",True,False
299,4uJ6l3SYKPYF5O1udcZ1,"['teh', 'penyetan']",True,False
300,4ucj8mCHYD88NvjQXng1,"['risol mayo', 'gorengan']",True,False
301,4umPE5qvrSIFBtu1gl43,"['risol mayo', 'kopi', 'gorengan']",False,False
302,4vQwsveW3C9r30lTtT2o,['gorengan'],False,False
303,4vlXKyhyWwvStbDzhhT4,"['teh', 'tahu krispy']",False,False
304,4vzNodEwjrxGhWVxQOBS,['risol mayo'],True,False
305,4z5zf0Fi4zLNSTtA69xp,"['mie', 'gorengan']",True,False
306,4zJyfKr5qv7iBwKoSqrU,"['gorengan', 'risol mayo']",True,True
307,4zW38QhObM1A0gdbvdJU,"['mie', 'nasi putih', 'teh', 'pisang coklat keju']",False,False
308,4zY4yBxUyf1t2nssSbqW,"['gorengan', 'cireng isi', 'mie', 'mie']",False,True
309,4zcH0ebWckjx46TA4CeI,"['mie', 'teh']",False,False
310,52UKaMATfZmK7AadtEo1,['risol mayo'],True,False
311,5403p82B3UawQOqsjBhZ,"['teh', 'float']",False,False
312,54F7gYp05qBCFkHlRZHw,"['penyetan', 'teh']",True,False
313,54GNufyLvSnhOAMTwotL,['teh'],True,False
314,54HJyQc9YMJWrEO4Fxn7,['gorengan'],True,False
315,54hWQsudticbjCtYe1aq,['pisang coklat keju'],False,False
316,54sJSBRkVZxM1i1kdhk7,['kopi'],True,False
317,54x0ZENJUQx6Ia7dvHNh,"['mie', 'nasi putih']",True,False
318,559Q9RgpkBmO3FzAulkO,"['risol mayo', 'gorengan']",False,False
319,56VDAGGSM4mDFVgUA2mi,['air putih'],True,False
320,56Wq2NlDLlJUFHrlNSNC,['risol mayo'],False,False
321,578HFOJkS3IOikZp6TRF,"['risol mayo', 'cireng isi']",False,False
322,58UAuliWxVzt8eZpUUsg,['es krim'],True,False
323,5A1k3ExRae2N324fB53I,"['tahu krispy', 'sosis goreng', 'teh', 'pisang coklat keju']",True,False
324,5Amqe3BkaLVbgL3tDj4E,"['sayur harian', 'tahu krispy', 'gorengan']",True,False
325,5Dc00WokmvkXPwclKBor,"['risol mayo', 'kopi', 'gorengan']",True,False
326,5E0grUP072x4kb1Y1W9y,"['gorengan', 'gorengan']",True,False
327,5FajDXDkTrteOp5FuWgw,"['kopi', 'tahu krispy', 'air putih']",True,False
328,5FfEZEIflwN0T7nIOqIL,"['penyetan', 'teh']",True,False
329,5Fh79SkqIlyvM7SXPtfk,"['mie', 'es jeruk', 'french fries']",False,False
330,5HKqrJHa6N88obzm1d0w,['gorengan'],True,False
331,5IB6a3DVXDyEIPzZouuN,"['risol mayo', 'pisang coklat keju']",True,False
332,5IWuEr3bMDWMevmgWZbO,"['mie', 'teh', 'nasi putih']",True,False
333,5J3WOeSN69tPH0NNTHFX,['gorengan'],True,False
334,5KXXURtbH2w901JQNYLS,"['risol mayo', 'risol mayo', 'teh']",False,False
335,5MOGiFge4mLX86YLJRci,"['penyetan', 'float']",False,False
336,5MTiFzXDppu5ba8mm9R3,['mie'],False,True
337,5Mw6vgeYLys5ge02pROV,"['mie', 'kopi', 'teh', 'mie', 'gorengan']",True,False
